,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,,1,1
697,15.027,646.1607,Peak@15.027,,,,240.2686,,,,,,,,,,,,,,,,,,,,,,,,0,,,2605,,,,4819040,3257588,5462906,7697908,2754724,1834503,2456,11957,124753,7395509,5234189,5812775,5223477,4484160,4428972,4450464,3234710,4612471,5934663,6101049,,,,,,
698,15.032,439.01813,"Octadecane, 1-isocyanato-",,,,394.99094,,,C19 H37 N O,,,,,,,,,,,,,,,,,,,,,0.847,82.2,589,2606,,,,877420,541562,775729,1275374,990109,452793,734,5310,62508,1108034,798614,849486,802261,702438,690180,676937,519144,775571,805298,856669,,,,,,
700,15.032,154.15951,Peak@15.036,,,,139.01657,,,,,,,,,,,,,,,,,,,,,,,,0,,,2607,,,,128638,74757,111084,128003,188590,88177,1045,629,12296,162391,117211,128606,127275,113307,99825,112179,86458,129391,81072,104580,,,,,,
699,15.034,168.13887,"Cyclopropanecarboxamide, N-nonyl-",,,,59.02914,,,C13 H25 N O,,,,,,,,,,,,,,,,,,,,,0.795,66.5,643,2607,,,,252183,163381,220210,263731,335137,158332,3614,3039,23174,299072,214272,194586,228461,192531,187564,217289,176671,229916,230735,229187,,,,,,
701,15.036,209.13304,Peak@15.036,,,,224.20091,,,,,,,,,,,,,,,,,,,,,,,,0,,,2607,,,,179687,105879,163623,195497,302246,170378,2186,16733,16396,145496,127079,116787,175056,118622,136549,140567,122632,208801,139769,142207,,,,,,
702,15.121,490.1051,Peak@15.121,,,,408.02615,,,,,,,,,,,,,,,,,,,,,,,,0,,,2624,,,,107863026,55999367,111274231,147134382,83701846,262620784,67600,263064,6347287,203898264,144919478,175213333,95583906,98305630,108925136,112970964,67227541,97584492,107409142,77014408,,,,,,
703,15.13,294.99826,"Methacrylamide, N-tetradecyl-",,,,252.23218,,,C18 H35 N O,,,,,,,,,,,,,,,,,,,,,0.859,84.3,610,2625,396,,,1967963,840740,1339256,1641770,2553943,4668713,1916,18510,415597,2591243,1596412,1979834,1235652,1078947,1209060,1388683,1029199,1544571,1178989,941887,,,,,,
704,15.132,294.99795,(E)-4-amino-4-keto-but-2-enoic acid methyl ester,,,,640.30127,,,C5 H7 N O3,,,,,,,,,,,,,,,,,,,,,0.539,9.3,508,2626,,,,2121874,1093768,2227187,3451559,1562102,5547504,,,123085,4428139,2917283,3667920,2013917,1801651,2232820,2283453,1243291,2113753,2208547,1563943,,,,,,
705,15.186,307.14011,Peak@15.186,,,,239.84125,,,,,,,,,,,,,,,,,,,,,,,,0,,,2636,,,,111966,91321,71166,90950,98510,96424,75692,52188,,96207,97003,109230,90692,69634,72649,,62569,83823,73191,63631,,,,,,
706,15.19,449.22095,Peak@15.190,,,,271.80957,,,,,,,,,,,,,,,,,,,,,,,,0,,,2637,,,,6968043,5648258,4189969,5449487,,5280906,3947156,2973032,2884077,6293489,5849921,6315349,5543948,4381989,4566911,4183175,3591414,5071841,4597171,3684754,,,,,,
707,15.201,293.17538,Di-5-nonyl phthalate,,,,127.14813,,,C26 H42 O4,,,,,,,,,,,,,,,,,,,,,0.974,99.3,886,2639,37,,,,166920,343948,2565604,296610,,1772,622,1181,578294,1176036,516710,21745,31538,80090,415773,197912,,275545,217484,,,,,,
708,15.219,340.34549,N-(3-Dimethylaminopropyl)-octadecanamide,,,,85.08411,,,C23 H48 N2 O,,,,,,,,,,,,,,,,,,,,,0.941,99.6,711,2642,205,,,3823,1150,2230,,5195,5696,,,863,7664,164153,91903,8501,5073,4212,4052,804,,6188,2657,,,,,,
709,15.219,337.27689,1-Butyloctyl(diphenyl)amine,,,,210.12773,,,C24 H35 N,,,,,,,,,,,,,,,,,,,,,0.913,89.6,771,2643,,,,29816,7428,36365,,11651,104262,,,,126473,,184010,14219,30271,107352,284640,14856,374049,336583,,,,,,,
710,15.223,383.10174,3-(Trimethylsilyl)cyclobutanone,,,,85.09669,,,C7 H14 O Si,,,,,,,,,,,,,,,,,,,,,0.89,97.1,758,2644,,,,,,8827,410011,,12052,,,,,,20116,,4486,12826,10098,17466,58268,,1590,,,,,,
711,15.229,268.01285,"2,2'-Bibenzothiazole",,,,108.00277,,,C14 H8 N2 S2,,,,,,,,,,,,,,,,,,,,,0.948,92.6,885,2645,,,,16762,9388,58911,9112,9246,94605,,,1286,107488,,225217,,24643,171217,670098,25390,367292,760847,21104,,,,,,
712,15.236,183.21126,"Octacosane, 2-methyl-",,,,255.21075,,,C29 H60,,,,,,,,,,,,,,,,,,,,,0.963,99.6,823,2645,218,,,10172,,4896,4500,6893,,,3373,1640,23476,13682,23294,100933,23707,65141,48515,101841,84877,91626,171434,,,,,,
713,15.236,397.15375,"tert-Butylfluoro(2,4,6-triisopropylphenyl)silanol",,,,155.17952,,,C19 H33 F O Si,,,,,,,,,,,,,,,,,,,,,0.616,28.6,508,2645,,,,14292,1841,19133,,8985,87883,,354,706,,540064,,22419,,38021,72210,91865,143994,,2808,,,,,,
714,15.275,737.21802,"3,3,5,5,7,7,9,9,11,11,13,13-Dodecamethyl-1,15-bis(1,3,3,5,5-pentamethyl-2,4,6-trioxa-1,3,5-trisilacyclohexyl0-4,6,8,10,12-tetraoxa-3,5,7,9,11-tetrasilapentadecane",,,,265.05624,,,C26 H74 O11 Si12,,,,,,,,,,,,,,,,,,,,,0.902,98.7,534,2654,,,,,46745,6322,917216,69774,152348,,436,351,8704,12920,5132,645907,662949,475440,3323,5568,3431,482653,493580,,,,,,
715,15.278,781.26306,Peak@15.278,,,,219.06882,,,,,,,,,,,,,,,,,,,,,,,,0,,,2655,,,,1858,17724,5848,283843,8114,62588,,,,,4582,,,207550,184794,11679,12229,18958,134439,144353,,,,,,
716,15.288,779.26471,Peak@15.288,,,,164.06018,,,,,,,,,,,,,,,,,,,,,,,,0,,,2656,,,,8046,14780,36413,89910,8023,,,,,33184,,32872,,,,15323,13024,12250,,,,,,,,
717,15.302,360.19623,Octocrylene,,,,204.08073,,,C24 H27 N O2,,,,,,,,,,,,,,,,,,,,,0.97,99.1,866,2659,3,,,99927,95686,2756420,240178,740945,1528936,,,3435,1038299,563728,1139722,1411796,1618723,1646249,2742843,3158162,4000122,217128,458492,,,,,,
718,15.322,629.24847,Peak@15.322,,,,369.12201,,,,,,,,,,,,,,,,,,,,,,,,0,,,2663,,,,,82102,58811,1404694,131434,274888,,,,13815,15699,27913,488758,670588,349705,59823,70599,88894,398073,1152361,,,,,,
719,15.343,237.07986,"2-(dimethylamino)-8,9-dihydro-7H-purine-6-carboxylic acid ethyl ester",,,,181.07112,,,C10 H15 N5 O2,,,,,,,,,,,,,,,,,,,,,0.669,39.6,550,2668,,,,12894,24731,67365,,,52485,1261,1136,1199,43851,58055,31666,182470,404107,288479,25754,23995,12259,107245,288958,,,,,,
720,15.371,97.10166,(S)-1-(1-Methylpiperidine-3-yl)-3-[4-(trifluoromethyl)phenyl]thiourea,,,,106.03687,,,C14 H18 F3 N3 S,,,,,,,,,,,,,,,,,,,,,0.882,94.9,513,2671,,,,,732,61575,1159404,,10843,,1150,,9071,1068,3210,26955,1379,2275,56853,69945,389003,1725,636,,,,,,
721,15.371,399.29285,"1,5,9-Decatriyne-5,6-13C2",,,,130.04442,,,C10 H10,,,,,,,,,,,,,,,,,,,,,0.58,13.3,633,2673,,,,236130,11750,25031,,,268878,,,,2405480,2385796,2281458,230194,677845,277703,51940,18214,28185,44243,54237,,,,,,
722,15.388,293.17538,"Phthalic acid, 4-methylpent-2-yl nonyl ester",,,,74.02363,,,C23 H36 O4,,,,,,,,,,,,,,,,,,,,,0.97,99.4,863,2675,160,,,198980,114536,223452,333090,136060,84753,,,3240,,262653,305472,227493,213430,184896,,,171586,236867,231874,,,,,,
723,15.397,179.0345,4-Methoxyisoindolin-1-one,,,,240.26859,,,C9 H9 N O2,,,,,,,,,,,,,,,,,,,,,0.582,32.7,505,2677,,,,228062,163627,318517,574199,146606,88280,,,4387,498295,371414,424380,321255,325546,277335,250017,167849,329265,339121,328526,,,,,,
724,15.421,777.24927,Peak@15.421,,,,69.03352,,,,,,,,,,,,,,,,,,,,,,,,0,,,2683,,,,48622,,128805,12783603,798076,3416029,,,,45573,59831,,3843923,4113582,2451904,,,57919,22852962,25489205,,,,,,
725,15.458,562.06757,Peak@15.458,,,,508.01971,,,,,,,,,,,,,,,,,,,,,,,,0,,,2690,,,,726781,507010,797081,1716747,617831,479335,,,15130,1324471,1005742,1092490,1142562,842428,1019813,704281,508524,969723,1307547,1169552,,,,,,
726,15.461,516.96039,"Cyclodecasiloxane, eicosamethyl-",,,,237.07932,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.91,98.9,571,2690,655,,,5651,4936717,329657,154939919,6480257,41738745,,1464,4959,19079,30282,18166,222111488,238461101,179991803,68069,13642,22852,105252649,131924616,,,,,,
727,15.467,534.97082,"8'-Amino-1-(4-bromobenzyl)-2,5'-dioxo-1,2,2',3'-tetrahydro-5'H-spiro[indole-3,6'-pyrano[2,3-d][1,3]thiazolo[3,2-a]pyrimidine]-7'-carbonitrile",,,,508.02014,,,C24 H16 Br N5 O3 S,,,,,,,,,,,,,,,,,,,,,0.594,23.2,504,2692,,,,726781,507010,797081,1716747,617831,479335,,,15130,1324471,1005742,1092490,1142562,842428,1019813,704281,508524,969723,1307547,1169552,,,,,,
728,15.477,292.27661,"Dodecane, 6-bromo-7-fluoro-, (R*,S*)-",,,,111.11682,,,C12 H24 Br F,,,,,,,,,,,,,,,,,,,,,0.694,73.4,502,2693,,,,198036,41771,,9624655,2499630,692937,23882,24378,5513,,3575002,,368115,177241,278142,,445076,4535451,698978,680321,,,,,,
730,15.484,284.27151,2-Ethylhexyl stearate,,,,84.09332,,,C26 H52 O2,,,,,,,,,,,,,,,,,,,,,0.949,98.5,774,2695,8,,,115486,,90408,5065060,6657349,1805424,8125,5753,,173638,13807610,179269,115104,73997,163670,226941,145807,1500723,258296,240911,,,,,,
731,15.489,258.14081,2-heptyl-3-hexyloxirane,,,,58.07322,,,C15 H30 O,,,,,,,,,,,,,,,,,,,,,0.93,95.9,733,2696,,,,379510,17420,81021,13473587,2505027,451405,8302,5138,,129897,1444745,441354,49405,28060,36125,188851,99196,3781209,53433,32606,,,,,,
729,15.491,348.33917,"15-Tetracosenoic acid, methyl ester, (Z)-",,,,85.10115,,,C25 H48 O2,,,,,,,,,,,,,,,,,,,,,0.906,95.1,626,2695,14,,,355013,79731,944155,337381829,68177141,9162288,128149,86018,,,6755253,,530102,514868,637489,1942970,1200173,110404923,1109949,361322,,,,,,
732,15.501,410.31836,"2,6-Ditert-butyl-4-(3,5-ditert-butyl-4-hydroxy-phenyl)phenol",,,,127.14809,,,C28 H42 O2,,,,,,,,,,,,,,,,,,,,,0.839,78.5,626,2697,,,,20883,10487,67218,72942571,11503057,1218412,5018,6913,,,348705,92362,32598,86043,53429,162788,80352,20366524,167337,16214,,,,,,
733,15.506,81.07039,"N,N'-Dimethyl-N,N'-bis(furfuryl)methylenediamine",,,,58.07323,,,C13 H18 N2 O2,,,,,,,,,,,,,,,,,,,,,0.707,74.9,534,2699,,,,,17420,81021,13473587,2505027,451405,8302,5138,,,1444745,,49405,28060,36125,188851,99196,3781209,53433,32606,,,,,,
734,15.515,403.10364,Peak@15.515,,,,215.08867,,,,,,,,,,,,,,,,,,,,,,,,0,,,2701,,,,7273,39742,,,,462234,,1088,1101,3974,,,2655682,96028,1736426,5957,907,,234248,572890,,,,,,
735,15.519,151.03056,"Octane, 2,6,6-trimethyl-",,,,70.07772,,,C11 H24,,,,,,,,,,,,,,,,,,,,,0.927,97.8,676,2702,,,,323099,,318228,206759832,47837520,8039442,27146,22785,,433889,31435920,450883,384570,388949,388238,620612,432798,69422187,781448,665010,,,,,,
736,15.523,293.17538,"Phthalic acid, di(hex-3-yl) ester",,,,127.14813,,,C20 H30 O4,,,,,,,,,,,,,,,,,,,,,0.963,99.2,831,2703,550,,,20883,10487,67218,72942571,11503057,1218412,5018,6913,,,348705,92362,32598,,53429,162788,80352,20366524,,16214,,,,,,
738,15.544,373.09756,"2(3H)-Furanone, dihydro-4,4,5,5-tetramethyl-",,,,114.06757,,,C8 H14 O2,,,,,,,,,,,,,,,,,,,,,0.852,87.6,506,2707,,,,32998,835059,34899,431516,322604,255946,,,280,102476,48276,48812,,1354002,1121211,9899,,19205,,151738,,,,,,
737,15.545,327.25354,"2-Ethylhexanoic acid 2,3-bis(2-ethyl-1-oxohexoxy)propyl ester",,,,58.07323,,,C27 H50 O6,,,,,,,,,,,,,,,,,,,,,0.929,99.3,656,2706,,,,379510,17420,81021,13473587,2505027,451405,8302,5138,,,373510,441354,38308,28060,,188851,99196,3781209,53433,32606,,,,,,
739,15.554,132.02121,3-(methoxymethyl)-2-methylbenzaldehyde,,,,84.09335,,,C10 H12 O2,,,,,,,,,,,,,,,,,,,,,0.882,88.9,629,2709,,,,115486,,90408,44501570,,1805424,8125,5753,,,13807610,,115104,73997,163670,,145807,,258296,240911,,,,,,
740,15.565,457.08429,Peak@15.565,,,,134.10776,,,,,,,,,,,,,,,,,,,,,,,,0,,,2711,,,,1455,9868,,91529,,,,,,1859,,,542841,492174,330098,,791,,159495,244372,,,,,,
741,15.567,126.14088,"3,5-Dimethyl-3-heptene",,,,126.14033,,,C9 H18,,,,,,,,,,,,,,,,,,,,,0.804,66.7,685,2712,,,,,,18729,8975147,3374299,,,,445,,82709,,17865,,,,18337,2736007,25813,11179,,,,,,
742,15.57,414.16498,"Endo-6-Acetyl-3-nitro-5-phenyl-5,6,6a,11-tetrahydroiso-indolo[2,1-a]quinolin-11-one",,,,60.03449,,,C24 H18 N2 O4,,,,,,,,,,,,,,,,,,,,,0.885,81.8,787,2712,,,,3401,,,128017,8304,96193,464,1437,,1506,2661,,482311,317740,228888,6530,574,,112077,210705,,,,,,
743,15.57,398.11639,Peak@15.570,,,,327.00226,,,,,,,,,,,,,,,,,,,,,,,,0,,,2712,,,,13593,16651,78785,855688,94860,34572,,,346,,3493,6752,1934354,2435333,1471541,79653,65124,83866,741793,993569,,,,,,
744,15.58,411.16934,"Butyl 4,4,6,6-tetramethyl-9-oxo-3,5,7,10-tetraoxa-4,6-disilatetradecan-1-oate",,,,135.04684,,,C16 H34 O7 Si2,,,,,,,,,,,,,,,,,,,,,0.844,85.8,502,2714,,,,6801,22153,173951,1561906,165052,909735,,,412,21256,7920,18554,3579480,3885912,2392405,41479,104721,134992,1289942,1900463,,,,,,
745,15.587,327.00281,"Phthalic acid, (2-chlorocyclohexyl)methyl propyl ester",,,,75.04367,,,C18 H23 Cl O4,,,,,,,,,,,,,,,,,,,,,0.559,7.9,638,2716,,,,602642,232614,4273792,5180583,1832077,4983484,,,,762136,604875,783267,7050950,14969235,8724102,3239080,3746242,4446509,3366327,6811836,,,,,,
746,15.587,267.03613,Peak@15.587,,,,267.03558,,,,,,,,,,,,,,,,,,,,,,,,0,,,2716,,,,59427,70165,504077,4602243,602271,2578035,,,,75842,69280,57804,10073939,11682577,6235716,373789,416179,588711,3403512,4855840,,,,,,
747,15.596,608.98926,"Cyclodecasiloxane, eicosamethyl-",,,,241.09177,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.945,97.9,768,2717,682,,,368943,183580,1790528,1447885,675391,1571086,1063,5265,5406,337791,381873,403194,,5327712,2811877,1322829,1480011,1465305,876912,2040883,,,,,,
748,15.597,668.95618,"2-Thiobarbituric acid, tris(tert-butyldimethylsilyl) deriv.",,,,504.10754,,,C22 H46 N2 O2 S Si3,,,,,,,,,,,,,,,,,,,,,0.848,74,759,2718,,,,1070827,372488,8161997,8060377,2782339,6719499,,,389,1359415,1345517,1485395,2949914,26279952,13000421,5873512,6953804,9073393,1933693,8267376,,,,,,
749,15.602,532.99152,"1,3,5,7,9,11-Hexaethyl-5,9-dimethoxytricyclo[5.5.1.1(3,11)]hexasiloxane",,,,504.10748,,,C14 H36 O10 Si6,,,,,,,,,,,,,,,,,,,,,0.772,65.5,551,2719,,,,1070827,372488,8161997,8060377,2782339,6719499,,,389,1359415,1345517,1485395,2949914,26279952,13000421,5873512,6953804,9073393,1933693,8267376,,,,,,
750,15.604,594.93732,Hexamethyldiethyloctasilsesquioxane,,,,594.93677,,,C10 H28 O12 Si8,,,,,,,,,,,,,,,,,,,,,0.742,58.5,539,2719,,,,156328,55193,1106050,1056489,391214,899822,,546,,202741,193082,199437,418801,3485086,1897983,711060,899025,1114796,249755,1225547,,,,,,
751,15.638,517.15118,Peak@15.634,,,,70.03687,,,,,,,,,,,,,,,,,,,,,,,,0,,,2725,,,,,1954,703,,,1643,,,,4111,,5557,,2594,2256,,,,16459,,,,,,,
752,15.663,124.12523,"(4-Hexyl-2,5-dioxo-2,5-dihydro-3-furanyl)acetic acid",,,,152.03098,,,C12 H16 O5,,,,,,,,,,,,,,,,,,,,,0.607,26.6,501,2731,,,,,2738,,3038969,,28981,,,,5702,,1299,,1496,,1330,3161,861833,,,,,,,,
753,15.68,293.17538,"Phthalic acid, 6-methylhept-2-yl nonyl ester",,,,167.03384,,,C25 H40 O4,,,,,,,,,,,,,,,,,,,,,0.973,99.4,876,2735,23,,,18134,6607,28507,683037829,135779779,12484735,,2025,2563,13421898,70122,308670,2237167,,40334,12626618,6120,208348178,,3101449,,,,,,
754,15.693,306.18338,2-Allyl-6-nitro-phenol,,,,163.039,,,C9 H9 N O3,,,,,,,,,,,,,,,,,,,,,0.811,83.9,628,2737,,,,12976,13493,3192,19126743,3091512,303725,,,,90443,2260,20180,,30214,47738,98974,24060,4381215,5148,,,,,,,
755,15.718,165.05519,Methyl (2R)-2-(hydroxymethyl)-1-oxaspiro[2.5]octane-6-carboxylate,,,,105.02901,,,C10 H16 O4,,,,,,,,,,,,,,,,,,,,,0.867,87.1,594,2742,,,,61494,25574,12691,3858725,1063130,250157,,,,382638,46162,55568,60914,44524,,393037,81613,1334123,43680,76581,,,,,,
756,15.722,532.99145,"1,1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15,17,17,19,19,19-docosamethyldecasiloxane",,,,70.0777,,,C22 H66 O9 Si10,,,,,,,,,,,,,,,,,,,,,0.884,92.4,573,2743,,,,2769653,1466951,977485,,25531924,7918269,,,16721,16570310,2465938,2526263,2925805,2481674,4284973,16200945,3602836,37280896,2396473,3725449,,,,,,
757,15.723,579.61395,"1,4-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",,,,581.61127,,,C24 H38 O4,,,,,,,,,,,,,,,,,,,,,0.825,77.2,583,2743,11,,,1731284,1397938,1634007,2580262,2793460,1961767,,,569933,2924780,2190947,2411987,1538961,1198420,1134692,1624502,1066795,2357005,1156674,1101669,,,,,,
758,15.737,161.06024,"Phthalic acid, nonyl tridec-2-yn-1-yl ester",,,,104.02567,,,C30 H46 O4,,,,,,,,,,,,,,,,,,,,,0.959,99,813,2746,,,,867236,437771,273134,51868862,13135799,3381840,,5545,12499,5589097,748464,975585,929552,832993,1380364,5219956,1149410,18720458,859963,1181050,,,,,,
760,15.811,145.06529,"2,6-Methano-3-benzazocin-11-ol, 1,2,3,4,5,6-hexahydro-8-methoxy-3,11-dimethyl-6-(2-propenyl)-, (2a,6a,11R*)-, ethanedioate (1:1) (salt)",,,,146.07272,,,C20 H27 N O6,,,,,,,,,,,,,,,,,,,,,0.84,95.3,545,2762,,,,,,1380,9284250,1650433,,,,467,,,,,9582,6850,3578,,3379397,5518,,,,,,,
759,15.814,229.21673,"Tetradecanoic acid, dodecyl ester",,,,103.07533,,,C26 H52 O2,,,,,,,,,,,,,,,,,,,,,0.928,99.4,652,2761,,,,62854,10905,21786,,,179475,,,,268621,97986,179536,583188,309066,357724,83788,51557,25744,45238,68554,,,,,,
761,15.819,293.17538,"Phthalic acid, 2-ethylbutyl nonyl ester",,,,150.02669,,,C23 H36 O4,,,,,,,,,,,,,,,,,,,,,0.977,99.4,895,2763,158,,,16645,3490,13657,997518396,204571623,19701642,,,2208,172216,84527,260005,29602,779400,46690,42788,2728,323622873,,14837,,,,,,
762,15.828,132.02121,Rolicyprine,,,,85.09669,,,C14 H16 N2 O2,,,,,,,,,,,,,,,,,,,,,0.806,87.7,524,2765,,,,5316,3685,5062,7633390,2097160,255094,,,,11104,3225,14981,6551,24611,4249,4442,3127,1129344,,4915,,,,,,
763,15.837,161.02405,"N-[2-(4-Chlorophenylhydrazono)-3,3,3-trifluoropropyl]pyrrolidine",,,,163.039,,,C13 H15 Cl F3 N3,,,,,,,,,,,,,,,,,,,,,0.612,34.3,575,2767,,,,,,,17832181,4130248,435934,,,,,,,,14539,,1694,713,6145885,8283,,,,,,,
764,15.839,302.1943,2-(Benzothiazol-2-ylsulfanyl)-cyclohexanone,,,,166.98575,,,C13 H13 N O S2,,,,,,,,,,,,,,,,,,,,,0.82,79.4,513,2767,418,,,60138,24106,,,20985,3393352,,,,1980336,55848,3307969,85722,4173553,10945621,6631486,46147,1261615,5505305,22370,,,,,,
765,15.841,180.0423,"2-Propenoic acid, 3-(3-nitrophenyl)-, ethyl ester",,,,148.05197,,,C11 H11 N O4,,,,,,,,,,,,,,,,,,,,,0.765,78.5,506,2768,,,,,,,10066594,2173381,249703,,,,2453,,18132,,1619,2541,,,3208649,,,,,,,,
766,15.848,307.14014,"11,14-Eicosadienoic acid, methyl ester",,,,56.06206,,,C21 H38 O2,,,,,,,,,,,,,,,,,,,,,0.917,94.8,689,2769,,,,95415,30704,114711,204026354,54677765,6501556,,,,,178479,453143,498685,465990,397462,360689,,68881229,,268211,,,,,,
767,15.85,138.14087,"Pentanoic acid, 10-undecenyl ester",,,,70.07768,,,C16 H30 O2,,,,,,,,,,,,,,,,,,,,,0.934,98.9,690,2769,,,,168412,82587,165160,135956982,110069841,13064052,,,,521654,268695,746236,648136,820030,545577,4920227,,50951991,773966,562289,,,,,,
768,15.863,161.06024,"(R,S)-3,6-Dimethylheptan-1-ol",,,,126.14033,,,C9 H20 O,,,,,,,,,,,,,,,,,,,,,0.905,91.1,703,2771,,,,5397,2125,31606,23403644,6174794,661917,,,598,19881,19547,14885,41128,62308,7595,93888,56180,8410635,52469,13613,,,,,,
769,15.886,257.12854,N-tert-butyl-2-[1-[(2-methyl-1-naphthyl)methyl]-4-(4-nitrophenyl)imidazol-2-yl]sulfanyl-acetamide,,,,251.05867,,,C27 H28 N4 O3 S,,,,,,,,,,,,,,,,,,,,,0.892,92.4,612,2777,,,,,7813,,29647,,9413,,315,777,2599,4428,,55234,54060,40597,,704,,61805,38397,,,,,,
770,15.898,548.34393,"(1S,3R)-4a-Hydroxy-1-(2-hydroxy-2-methyl-propyl)-2-(toluene-4-sulfonyl)-2,3,4,4a-tetrahydro-1H-beta-carboline-3-carboxylic acid benzyl ester",,,,296.10233,,,C30 H32 N2 O6 S,,,,,,,,,,,,,,,,,,,,,0.681,44.3,519,2779,,,,2781,2257,19968,101054,42566,208236,,,,114580,51910,,559210,592676,462153,2486,19600,53607,471465,667811,,,,,,
771,15.9,323.13504,Peak@15.900,,,,323.13449,,,,,,,,,,,,,,,,,,,,,,,,0,,,2780,,,,,3464,,234653,12429,69553,,,,,,,587172,657226,340583,,,,102250,106478,,,,,,
772,15.927,131.09468,Peak@15.927,,,,90.05491,,,,,,,,,,,,,,,,,,,,,,,,0,,,2785,,,,423269,217233,337907,,244415,241859,,,2503,547753,393583,422226,299475,320333,324120,321597,246740,173709,378168,363237,,,,,,
773,15.928,754.31091,Peak@15.928,,,,660.17578,,,,,,,,,,,,,,,,,,,,,,,,0,,,2785,,,,703319,288500,578989,276062,566285,385874,,,,922109,733656,744975,571556,495082,619473,484439,461155,962146,694356,568026,,,,,,
774,15.928,295.28299,Peak@15.928,,,,116.07063,,,,,,,,,,,,,,,,,,,,,,,,0,,,2785,,,,1831998,922932,1736927,1594783,998404,929557,,,14822,2559861,1921471,2059710,1734775,1567393,1863366,1627599,,1524407,2084005,1861645,,,,,,
775,15.928,126.00922,Peak@15.928,,,,75.027,,,,,,,,,,,,,,,,,,,,,,,,0,,,2785,,,,547801,225190,501184,106996,235215,247797,,,1145,622029,522197,515677,511304,413403,428949,466540,378880,263555,531310,479614,,,,,,
776,15.932,618.12988,Peak@15.932,,,,490.04532,,,,,,,,,,,,,,,,,,,,,,,,0,,,2786,,,,69796322,32560630,58575389,66744196,50816000,33719012,13457,23737,478908,92466092,69177706,70117509,59699344,56646028,59038576,58120625,41044797,65347045,70730893,64810270,,,,,,
777,15.935,562.06726,Peak@15.935,,,,75.03148,,,,,,,,,,,,,,,,,,,,,,,,0,,,2787,,,,2093691,998359,1805446,994578,1353398,1040661,,,18906,2462223,1874995,1939738,1671229,1658354,1760662,1715559,1274812,970632,2049190,1903146,,,,,,
778,15.941,266.24841,"Methacrylamide, N-tetradecyl-",,,,109.02595,,,C18 H35 N O,,,,,,,,,,,,,,,,,,,,,0.861,88,545,2788,559,,,3641962,,2265472,1059158,4453827,2077710,3782,2757,138145,3409354,2402255,2429253,2112866,2014039,2130130,2222845,1789731,1803635,2261390,2261853,,,,,,
779,15.943,149.02388,Peak@15.943,,,,109.02593,,,,,,,,,,,,,,,,,,,,,,,,0,,,2788,,,,3641962,1540683,2265472,1059158,4453827,2077710,3782,2757,138145,3409354,2402255,2429253,2112866,2014039,2130130,2222845,1789731,1803635,2261390,2261853,,,,,,
780,15.944,252.23273,"2-Pyrrolidinone, 1-decyl-",,,,394.991,,,C14 H27 N O,,,,,,,,,,,,,,,,,,,,,0.762,64.9,513,2789,,,,7859272,3342782,5210413,4574056,8429441,4561624,3937,3746,159077,8381869,6151865,5986204,5155438,4684279,5173468,5152287,4160048,5367340,5729499,5460754,,,,,,
781,15.945,108.08124,Peak@15.950,,,,702.22345,,,,,,,,,,,,,,,,,,,,,,,,0,,,2790,,,,589969,284789,451945,841212,583971,244390,,,,796360,564902,,442001,469496,469780,462879,338232,740180,622109,473400,,,,,,
783,15.961,854.28418,"1,1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15,17,17,19,19,19-docosamethyldecasiloxane",,,,71.04916,,,C22 H66 O9 Si10,,,,,,,,,,,,,,,,,,,,,0.898,97.7,537,2792,,,,17172,1465692,19815,26055668,4982871,7803580,,,5429,122252,,44507,24265371,,,50459,92809,,19825697,23975728,,,,,,
782,15.961,705.24652,Peak@15.957,,,,71.04916,,,,,,,,,,,,,,,,,,,,,,,,0,,,2791,,,,17172,1465692,19815,26055668,4982871,7803580,,,5429,122252,30190,44507,24265371,23942101,18791769,50459,92809,1438938,19825697,23975728,,,,,,
784,15.963,293.17538,"Phthalic acid, 2-ethylbutyl nonyl ester",,,,71.08552,,,C23 H36 O4,,,,,,,,,,,,,,,,,,,,,0.97,99.3,865,2792,187,,,16599207,9708851,15100791,1785131477,458211239,63086105,184804,151104,326416,22948397,44230782,17753474,16012061,17254952,16538065,16968824,12605964,638845102,20622061,18050279,,,,,,
786,15.97,411.16931,"2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]-N,N-bis[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethyl]ethanamine",,,,282.14154,,,C27 H57 N O12,,,,,,,,,,,,,,,,,,,,,0.797,73.8,506,2794,,,,,45062,,140168,55750,193823,,,,5058,,7661,,682463,527395,9459,,,480316,501428,,,,,,
785,15.972,197.22688,"Octadecane, 2-methyl-",,,,85.10113,,,C19 H40,,,,,,,,,,,,,,,,,,,,,0.913,91.9,723,2793,930,,,7850199,4920949,7474254,1136526346,,38241098,121794,89745,158983,,24219764,8740237,6917999,7828461,7364113,8504270,5987697,389738649,9584459,7798184,,,,,,
